2023-10-26 14:56:04,889 [MainThread] INFO UNetPredictor - Saving predictions for slice:(slice(0, 4, None), slice(0, 64, None), slice(500, 628, None), slice(200, 328, None))...
2023-10-26 14:56:04,895 [MainThread] INFO UNetPredictor - Saving predictions for slice:(slice(0, 4, None), slice(0, 64, None), slice(500, 628, None), slice(300, 428, None))...
2023-10-26 14:56:05,069 [MainThread] INFO UNetPredictor - Saving predictions for slice:(slice(0, 4, None), slice(0, 64, None), slice(500, 628, None), slice(400, 528, None))...
2023-10-26 14:56:05,076 [MainThread] INFO UNetPredictor - Saving predictions for slice:(slice(0, 4, None), slice(0, 64, None), slice(500, 628, None), slice(500, 628, None))...
2023-10-26 14:56:05,082 [MainThread] INFO UNetPredictor - Saving predictions for slice:(slice(0, 4, None), slice(0, 64, None), slice(500, 628, None), slice(600, 728, None))...
2023-10-26 14:56:05,088 [MainThread] INFO UNetPredictor - Saving predictions for slice:(slice(0, 4, None), slice(0, 64, None), slice(500, 628, None), slice(700, 828, None))...
2023-10-26 14:56:05,263 [MainThread] INFO UNetPredictor - Saving predictions for slice:(slice(0, 4, None), slice(0, 64, None), slice(500, 628, None), slice(800, 928, None))...
2023-10-26 14:56:05,270 [MainThread] INFO UNetPredictor - Saving predictions for slice:(slice(0, 4, None), slice(0, 64, None), slice(500, 628, None), slice(900, 1028, None))...
2023-10-26 14:56:05,276 [MainThread] INFO UNetPredictor - Saving predictions for slice:(slice(0, 4, None), slice(0, 64, None), slice(500, 628, None), slice(1000, 1128, None))...
2023-10-26 14:56:05,282 [MainThread] INFO UNetPredictor - Saving predictions for slice:(slice(0, 4, None), slice(0, 64, None), slice(500, 628, None), slice(1036, 1164, None))...
2023-10-26 14:56:05,458 [MainThread] INFO UNetPredictor - Saving predictions for slice:(slice(0, 4, None), slice(0, 64, None), slice(600, 728, None), slice(0, 128, None))...
2023-10-26 14:56:05,471 [MainThread] INFO UNetPredictor - Saving predictions for slice:(slice(0, 4, None), slice(0, 64, None), slice(600, 728, None), slice(100, 228, None))...
2023-10-26 14:56:05,478 [MainThread] INFO UNetPredictor - Saving predictions for slice:(slice(0, 4, None), slice(0, 64, None), slice(600, 728, None), slice(200, 328, None))...
2023-10-26 14:56:05,484 [MainThread] INFO UNetPredictor - Saving predictions for slice:(slice(0, 4, None), slice(0, 64, None), slice(600, 728, None), slice(300, 428, None))...
